label,wall,floor;flooring,table,ceiling,sofa;couch;lounge,cabinet,cushion,windowpane;window,chair,painting;picture,toilet;can;commode;crapper;pot;potty;stool;throne,door;double;door,curtain;drape;drapery;mantle;pall,rug;carpet;carpeting,armchair,airplane;aeroplane;plane,lamp,bed,shelf,truck;motortruck,plant;flora;plant;life,box,hill,traffic;light;traffic;signal;stoplight,mirror,animal;animate;being;beast;brute;creature;fauna,bottle,book,desk,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,seat,sculpture,vase,fireplace;hearth;open;fireplace,wardrobe;closet;press,barrel;cask,screen;door;screen,railing;rail,waterfall;falls,monitor;monitoring;device
heidelberg,0.3080199648397778,0.3080084179939916,0.2624829189360188,0.25550445631750124,0.24391052071125394,0.23785979228256884,0.2051795282515265,0.1992163250663288,0.21968536545010298,0.19911953984026265,0.17162527097946573,0.16573995019072096,0.13933748036171173,0.19575531076771294,0.14201129878800714,0.15068842606556113,0.17918284317282043,0.14733036278793207,0.12966313261994758,0.06344753725306637,0.14110190049063664,0.0866247587874479,0.13201669326979074,0.1069812390905415,0.07563570281751335,0.11745468612852598,0.07952222114252185,0.053989178062969774,0.09359698386846077,0.07102786513414788,0.04659191907734329,0.06410087762450978,0.036139037848265436,0.025916557383751107,0.045155834501346206,0.048635142369049006,0.0689438760876962,0.03457263192771548,0.06182712637853884,0.04168117109912799
hualien,0.32444877692029955,0.32443550642398133,0.28781621901321286,0.28282939202435464,0.2071156827574699,0.23995612492432655,0.16624051377661753,0.21593677540052103,0.19649891362344177,0.1493980869478421,0.18958474031880673,0.20708718279393465,0.15756789864651674,0.08280392849881346,0.16270333027780867,0.19849529290099194,0.0987933982996349,0.19139365858962576,0.12435937649283743,0.15236729870738674,0.08297531638460942,0.11491249028718156,0.07808826666303202,0.040926446264199445,0.11551493813046355,0.09085627806909503,0.058117806359467436,0.05781376528921059,0.10852551354426757,0.04908865592470725,0.04816896931387346,0.04010854728918985,0.041151184937271594,0.048047481851958576,0.08271140145299098,0.07311871377457634,0.06640709927309818,0.041535948274818456,0.02418011784429879,0.013764119263398692
ibague,0.31315878302827194,0.3131531089763224,0.2679912222523262,0.2982176162442043,0.2236676576298084,0.23806551111505989,0.1785084718067092,0.25234271793732926,0.2234132538501085,0.19374086124940335,0.14856042818347573,0.28276870810599564,0.044141796124063507,0.11928573662421521,0.14817331607342082,0.1543091020967097,0.1951622283217404,0.11923119600788774,0.07448049931338709,0.11502108189755142,0.02977088164906682,0.028626742277924774,0.058483316943835434,0.0724820529633766,0.13348766804831694,0.014848916645320936,0.05963329230270293,0.05945590897738771,0.11877207258443244,0.0,0.04472630227236493,0.05821131188627458,0.0,0.014907054358039356,0.07444327410957594,0.10133071413022272,0.0447102912479304,0.05948160708413853,0.014659889191117752,0.014887284258620136
islamabad,0.3136436420723939,0.3136322890178929,0.22054905905987843,0.2540324183058068,0.24637898649090983,0.23612808498989063,0.20042560338428395,0.15657929367578136,0.16823642211910858,0.212409960004928,0.22716074487554813,0.20323242632722247,0.14685941460888527,0.20999391517863494,0.18336267719951274,0.1498483739984859,0.1442091156370054,0.12698383642247765,0.08234801695195838,0.14746313038861672,0.10838957942394048,0.11066921079957891,0.10052335520724637,0.10565872714690018,0.12923174421675365,0.06449091588543111,0.11311315561629719,0.06559046646244619,0.07084965161831186,0.07056386636529416,0.07045756209727283,0.051877352432457544,0.07237111853631845,0.04663693196058172,0.04979190574222882,0.06438365213058711,0.0339006050034515,0.021768489350412316,0.03363281338311541,0.031020668138741776
kandy,0.3124296395093331,0.3070273357327898,0.2523889985477665,0.24234199827174174,0.26322306532934525,0.20412762629082015,0.23673774402391953,0.23678223203176815,0.2400098274255096,0.19347351465448628,0.204623698180892,0.20978919756413889,0.20845313777991936,0.1182508341728904,0.20263914771276653,0.10752607569192733,0.1553012387935397,0.12351828323622284,0.05686677683441247,0.12373664761324783,0.09803311985912762,0.0732643211939786,0.069762072881251,0.11609470714197798,0.09408424365039522,0.07775203545554865,0.07186530336923819,0.08589845577350134,0.052575759687316634,0.05597309642447364,0.04789116087413097,0.040700188865043875,0.07848736155878457,0.05333321301955384,0.062150297472508075,0.04299041666604653,0.042588366656638926,0.0668099174580008,0.024156974005203623,0.02153496414633563
lalitpur,0.31023759963628067,0.3102226810985991,0.27431091582641964,0.27227605972360686,0.22028587761644855,0.2544649850011722,0.16812793798952227,0.22007926741996528,0.19495484211432454,0.19417624090542226,0.19153782251035464,0.17349521865279088,0.2791178774019418,0.13373858245925033,0.14468235570021018,0.13406579387597564,0.14113096011587778,0.14516230830584662,0.10957708771757772,0.14263993825346932,0.10848242927050086,0.08489092107505987,0.1136401134979453,0.10471421035813713,0.06359828807512302,0.09201660784516226,0.033364416465501735,0.10786512129825421,0.07776359741213917,0.040859748165069924,0.0446975972849268,0.02405015780099416,0.0846735150577674,0.013710644167984745,0.05975655576823062,0.04044947329635107,0.02740370639521277,0.03402576355844675,0.03996863023141936,0.020307643562562375
luxor,0.314205386731866,0.31419912458551197,0.2717953390463069,0.2675491207791879,0.22107063034458413,0.23259101063524804,0.2440557975122241,0.21513742668491953,0.20853523204450747,0.11464674904647544,0.1742587370486026,0.18574913485463226,0.17440974900418002,0.2210361329228284,0.17390073391895658,0.12594944207486086,0.16974667453386055,0.1726359987147333,0.0801297437676292,0.09683557886933714,0.04635495571017183,0.10032248896078311,0.08069454421303787,0.07898877984895249,0.11596575143549917,0.011622938994631694,0.04525202630711061,0.08076225224857018,0.03101283333867165,0.057778610605415365,0.06953490707532572,0.09057479932567115,0.13474893895453266,0.011632467531182527,0.045646282689093876,0.043218184419406794,0.052265644881811235,0.053271654073350834,0.02160352869364332,0.0662189192575652
madison,0.2954926491883991,0.29252478827652156,0.2586177695204134,0.25064389417895544,0.25974873701662493,0.19155272801706802,0.21524824245082796,0.24211697412333633,0.16988969763758902,0.19763161298265197,0.1980121907126942,0.17234733386871068,0.15008109366722605,0.23329246626719718,0.22141214045262897,0.1162395136117422,0.21173789091579992,0.07969821468033472,0.10409739540600564,0.09978691561216788,0.1049409441002604,0.09686392174227651,0.11112671695763186,0.08852755400800726,0.11928689068723304,0.09309907272198668,0.08202330412607058,0.07568189818894556,0.05538182509841116,0.06349242927245873,0.04222059726494708,0.07004851713255411,0.06786110077209015,0.07974949133900507,0.0029544652323537095,0.03696529460467541,0.02238074241534408,0.04006880511038657,0.060136762604932656,0.046771035518969856
malaga,0.2996733345757382,0.29964724192746006,0.23879716115412114,0.2515176057915457,0.26667685924013984,0.23031330807477374,0.23643672120786502,0.22344383009310337,0.19375001016448729,0.18546844551361533,0.22717156665095237,0.17950770280904077,0.14902867609667106,0.14950192316309563,0.1501175717127854,0.15235107072931,0.1891140399517259,0.1068316233288228,0.1440162829776704,0.06979013020678976,0.1462471563626764,0.09673263978040467,0.11472286275589516,0.12896449709472213,0.11535743744522715,0.124781295524083,0.06755094217470878,0.08009302266693416,0.03822660755081784,0.07237699529753464,0.03841957208317705,0.043328440162939914,0.054203432408503345,0.044567158510759305,0.04366256746930723,0.026586058874771903,0.03729086115894009,0.04554874384793743,0.050636780346663704,0.04983795532114388
manama,0.2948262087205004,0.2948124104207279,0.2645281569979858,0.25484062295266985,0.26981116203279604,0.23877842000619257,0.22721291850517725,0.2023422008657858,0.2082835401205847,0.17959068842465856,0.2396074274971841,0.14930881342011476,0.22979618982774858,0.17341395036939458,0.15697874151033397,0.1556073676271885,0.16191943857725188,0.09462342477520665,0.12868630625657868,0.14859095666178887,0.08386901359829639,0.09289487415212373,0.09757554679038168,0.08930562022404817,0.08465666350318404,0.06438974426057777,0.09790789481400032,0.07764104725718392,0.08180899152256052,0.05256446573131485,0.047835267991209844,0.039316815147456365,0.03387421849957218,0.059053359811527574,0.028537892010019883,0.03194432552846664,0.04933268897715165,0.023958397863617906,0.01812370154798149,0.029849492265201453
