label,wall,table,sofa;couch;lounge,cushion,ceiling,chair,floor;flooring,painting;picture,cabinet,windowpane;window,toilet;can;commode;crapper;pot;potty;stool;throne,lamp,airplane;aeroplane;plane,plant;flora;plant;life,armchair,door;double;door,hill,shelf,traffic;light;traffic;signal;stoplight,curtain;drape;drapery;mantle;pall,rug;carpet;carpeting,bed,book,box,animal;animate;being;beast;brute;creature;fauna,mirror,truck;motortruck,desk,bottle,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,sculpture,barrel;cask,buffet;counter;sideboard,seat,screen;door;screen,fireplace;hearth;open;fireplace,wardrobe;closet;press,vase,waterfall;falls,monitor;monitoring;device
chennai,0.3376808545168057,0.3082852382448458,0.2432613944623974,0.1715413833218475,0.30378289139383885,0.285115069167684,0.19138373361681157,0.15993150113443852,0.2745648352550889,0.22182805265188194,0.18460593324441524,0.11474702896195045,0.22293087911955323,0.08386408612572399,0.19526321379036538,0.17187495758181393,0.08927953919664977,0.07872392851812923,0.0523829533360597,0.14193294166215709,0.051102404490903294,0.14035675451438198,0.054652545681381975,0.0831675669481855,0.016632289019128037,0.1165881833923756,0.08437605441087405,0.09636444249051189,0.035811521823505124,0.04022497707800384,0.04558623902719447,0.012979006606499017,0.04653300136026439,0.056256015350736766,0.05662599622569551,0.025494693360259602,0.08589019380500677,0.1122709578414401,0.0167961381734461,0.0058955217505438995
chicago,0.2852651287072565,0.3029024130788849,0.2510426402338519,0.2705192930752247,0.21300153118702858,0.1980169037951391,0.2308435558470144,0.2885419235617112,0.21973723091527353,0.1920904555193489,0.19902545976200126,0.24099673852522532,0.14144991599185203,0.1374021477444727,0.17621761204882644,0.12449590894193692,0.14966437102462904,0.11651608307333301,0.1231907716447828,0.09919150121648772,0.12605575603360533,0.10008689925606672,0.107665198203231,0.13100305584965594,0.08015539818735842,0.09079267116369576,0.09502106767184235,0.049623755644531045,0.09485606121388532,0.06945609366024595,0.07433698777250046,0.06907200455313474,0.04725707560300927,0.033302356849144454,0.046630657977298484,0.05867606770293834,0.025015829625392914,0.02684875674749417,0.07334405501774194,0.03830638459756584
delhi,0.2930997058581828,0.2586509976022608,0.24708356657542174,0.2548271018099718,0.21799639337018648,0.2465311527577926,0.23352340528108667,0.2723581258750916,0.2277646290373112,0.132745955668956,0.1725771961472958,0.13324012593405313,0.163463571725723,0.16842619218630128,0.18494484868072994,0.1413746056453428,0.13272461916372616,0.12752686253982362,0.11842554103905767,0.10602871077215295,0.13900243711615112,0.19238504981504764,0.10696814877354834,0.1776162567093931,0.12504976807944707,0.08461384124490524,0.05778922666728334,0.09153582996966837,0.08536087760252704,0.07889603477355547,0.06466288947560256,0.03258303505761361,0.038490154873189054,0.04610114476099899,0.06118418653693309,0.015073733817925459,0.04763001724772383,0.07545558962371147,0.04148640272038366,0.017923695534612236
dhaka,0.3508913669645789,0.26267536659975693,0.20937399046212404,0.2480677689544203,0.2736263838013898,0.20556023949028723,0.20205654136046144,0.18436255612686106,0.1975782584045078,0.1527762472234646,0.18903085738026734,0.13858830705016195,0.13105375193052676,0.1432239048538597,0.20384070870461457,0.18409080509416342,0.09768324401292193,0.17866926469724825,0.09803597963343937,0.22214421604370216,0.08520996207263036,0.1843263578360692,0.08115603754289431,0.12306836712844962,0.04297820905705632,0.125297226901944,0.09083620142284518,0.07464568792885629,0.04007190310397319,0.03749997521564494,0.06909759924838488,0.01571947224965593,0.01654733136475398,0.09004386646509722,0.04611593064605261,0.07663910691709813,0.10358826378167903,0.08788283890402822,0.04276562568963764,0.02608171187607809
dubai,0.2817578865069953,0.3033306257125206,0.26728550160095005,0.293143919487702,0.2596427471872517,0.26090421115850276,0.21287009365673315,0.2384952042612975,0.1676993319663883,0.17811392918762645,0.22937970890975093,0.19614859093890738,0.09490535553391785,0.18733834619196632,0.14694410009610037,0.11952786238715837,0.11584127462597799,0.08219697076789648,0.19825341485023726,0.11326176701697825,0.16002341812517812,0.10284397687146223,0.14582367041720418,0.06337447811778503,0.0896676352999488,0.09602725195492041,0.09176653054486256,0.06480703819527674,0.0517111696439212,0.06954630722483421,0.02765737529572376,0.040113355064256784,0.059706217873215374,0.030721942276589392,0.059191567036039935,0.01547825927196598,0.029389317723662996,0.01850237811153327,0.01892407190641134,0.05246070041395808
hongKong,0.29424951951585565,0.2555502699363417,0.24314314371096485,0.2347893114335255,0.27568878898007926,0.20046177667378112,0.23131521166346797,0.23861276583426957,0.23060967344072322,0.2095764343249325,0.10572205261486538,0.16378704484397755,0.19382050541591764,0.17032931065073512,0.10634835859866414,0.15042694284946104,0.1581987919416535,0.13432433391098894,0.13310489363296288,0.1118955653778281,0.10167723963618491,0.12659916465224197,0.14808455471592252,0.10317872907202626,0.15736426886799107,0.10781267608372495,0.09398218313911016,0.09450021189903213,0.04852190321232642,0.10599172429945611,0.058827545301522816,0.029015123270987785,0.08442379686672952,0.06315760495074131,0.0636044953060555,0.04224664920124265,0.055110979778118206,0.042664214209493685,0.03758347239309285,0.08623856164449635
istanbul,0.26769136104645086,0.33394442672351204,0.25911112769922695,0.2603478693932195,0.21323526780495738,0.23471452076602434,0.2557614253591413,0.22729370219466946,0.24609703880245992,0.17534162375407164,0.2153420476499185,0.1869214459999503,0.15174959125753829,0.14866662290190852,0.16137998610113272,0.12234570880214828,0.18692820568155716,0.11833592954257854,0.09662678761291041,0.10991471649487011,0.14676078430317785,0.12104741616523586,0.08492778010078111,0.11581773416320025,0.09503973314942087,0.043837169730920056,0.04582208691120777,0.12551231894660447,0.06668121538280893,0.07943319878003843,0.048547988779461426,0.03977379935478786,0.05360442632308912,0.035843464875859134,0.042311788936474214,0.02876561801530711,0.044594217578642265,0.026398063009095276,0.030802075072333127,0.05255999141285267
jakarta,0.3059593342540289,0.29398347353098864,0.1802167507548318,0.1995330667506651,0.26346404046163957,0.2750797304177383,0.21280699877379775,0.1745832966213357,0.23874368997367032,0.22480580806597825,0.14493989725934173,0.16697150328930302,0.16882072430859849,0.10290139972429643,0.11729184750185905,0.1569387680923593,0.08758157171714284,0.19815088645494985,0.10243587761992654,0.1482821449017967,0.0719344293891801,0.11513205184277156,0.13379610914253404,0.14462839395894933,0.1216898643599231,0.09011687129663196,0.12586277347410454,0.14000144644195384,0.07419857108306628,0.05243137234694873,0.04343676798294321,0.09295006839955797,0.09152067086249273,0.05826073985846801,0.023702498510718883,0.03920947016573075,0.05932980819762268,0.014821718066732636,0.020620866900498393,0.02161860013482581
kinshasa,0.3256603701573487,0.3299595767983541,0.22370177267886246,0.17543154767305805,0.29167577697957153,0.22234823953207253,0.20681542119471716,0.16606984579485162,0.2907511524008476,0.16253701800738007,0.2445406941538741,0.10841390305850553,0.2561752044693162,0.05808214883813285,0.24609703346344203,0.14716910710667333,0.10793370830267343,0.1254536469549613,0.02176032092354513,0.1806380760389843,0.15146183286818685,0.048318643961016566,0.059494225261515266,0.09215199365217142,0.029850714060245656,0.05528916195824377,0.0674981718981107,0.09760412887643556,0.06389923337433911,0.05229270044357886,0.03466182243360549,0.008300591601560001,0.01840677974788637,0.050870453521866844,0.007776216394327024,0.03947219823015047,0.004724378370789826,0.1200643830691775,0.010441027201593163,0.015575961323760653
kolkata,0.30728015866266123,0.285288937156277,0.22057514628353206,0.23434249025223847,0.23448467084856114,0.23835905534067167,0.22313117564293422,0.2764782779383274,0.2187413239971249,0.210096817465214,0.15535915659092156,0.12340139870199382,0.21292537923691152,0.10529694905836993,0.1681164309103203,0.13633569419631655,0.10809078516944978,0.17548006569000438,0.09331065173905641,0.1858435903923816,0.10832979766958635,0.13928281042908006,0.09019742449506077,0.10818375622653399,0.08286130286981531,0.09794185327651925,0.06889854143921172,0.10581225457352382,0.07561740886799881,0.047524750756392516,0.05698203427204409,0.07066497240871193,0.08336606764400122,0.05522194369481494,0.04060378037170993,0.04468784986296211,0.08262850720560982,0.07827376988052415,0.0164884716067888,0.030313104543793032
lahore,0.30666161245874085,0.2859912488907773,0.2848059049795112,0.2461815766092463,0.21746541234457323,0.2585969616966137,0.1882501071483916,0.1756512381979606,0.20287766237989627,0.1346014436076655,0.1774729651773348,0.1488486472114513,0.18389020209592663,0.18742849659789246,0.19863517780393647,0.20942514776935892,0.1486143473710786,0.09603006277476592,0.08186095944479418,0.07966432016934627,0.10537307606232799,0.08767244693442211,0.100210978530726,0.09667790905277045,0.08488956808472022,0.17780231770306934,0.13746411898853217,0.05047043666379115,0.05280169539382382,0.07605247258928982,0.06618344137844895,0.03380620957164873,0.09647165786738615,0.09870493161933121,0.016451941920867377,0.09773061974802148,0.06982659979011839,0.0683565034854935,0.04027876096905928,0.04062378809628417
lima,0.3026948751521982,0.2403211778482111,0.2656384235805156,0.26167850387851255,0.29524632240836646,0.2421594889730334,0.23357387668261684,0.24338192825515653,0.21759760835048478,0.24834541631549376,0.17986745612858615,0.12915168973772173,0.14572638439204197,0.19766700708339222,0.1319630337272118,0.11989461850810779,0.07444541316120862,0.17243632168206205,0.16271382565928508,0.1320035655766463,0.09452592173682908,0.06483519253781524,0.1222852184172151,0.07252404498547477,0.11411749150436157,0.07514756070705815,0.13474788418318007,0.07153135192101298,0.061224333676668234,0.04500273644949387,0.040540981928320736,0.0750894079403189,0.05823909717755141,0.041271340794205615,0.03273726945884567,0.031309480218515845,0.025796431436587997,0.04129668427774529,0.025498895001263032,0.03024647999269787
london,0.27654719608103023,0.2695805351947797,0.2830181766176958,0.28646161738882,0.21292165813915395,0.22245436704722021,0.2550093968373058,0.3024818919880391,0.17805432696607065,0.23162062985190407,0.17267985990516246,0.18823272154050816,0.11771137933767203,0.17274724165191332,0.19861689522409243,0.10970239332927793,0.1590801618284221,0.14172644049565009,0.13645191381905342,0.10332469675029163,0.1230084420009845,0.07284798809183728,0.09038428899477807,0.09554052832552168,0.08173884998692438,0.07108634847224572,0.08845581621265841,0.0649891075552628,0.10487525954333257,0.06041304818325198,0.05559057694804796,0.03159634731613999,0.016786780554279075,0.03330435821319656,0.04720730068211692,0.058109649831437925,0.01591765530460995,0.05490175270659642,0.04900610885036755,0.03263897474693183
