label,wall,floor;flooring,table,sofa;couch;lounge,ceiling,cabinet,cushion,windowpane;window,chair,painting;picture,toilet;can;commode;crapper;pot;potty;stool;throne,door;double;door,rug;carpet;carpeting,curtain;drape;drapery;mantle;pall,lamp,airplane;aeroplane;plane,armchair,bed,shelf,hill,truck;motortruck,plant;flora;plant;life,traffic;light;traffic;signal;stoplight,box,mirror,book,animal;animate;being;beast;brute;creature;fauna,bottle,desk,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,seat,sculpture,wardrobe;closet;press,vase,screen;door;screen,fireplace;hearth;open;fireplace,barrel;cask,railing;rail,refrigerator;icebox,waterfall;falls
lahore,0.2955713328432363,0.2955579884034623,0.26002946714735525,0.26441668906450294,0.23217543660291082,0.23066623821590945,0.20082756963200704,0.12478207368576603,0.19683863383550426,0.176028543802107,0.21915027642995746,0.21361206218416584,0.17611929125658013,0.11817357479003315,0.1761239953299752,0.1769751847271153,0.2290242876278681,0.10549806840905748,0.08386660202661322,0.1170178189142239,0.1398791770431924,0.10121180263467443,0.11573222235957116,0.09225054292237707,0.17074914273701908,0.0977601762337211,0.061482149004923235,0.06319657581497357,0.05654485637466739,0.06938695751836271,0.06742572189063863,0.045808231470857545,0.07714797164557469,0.08391279220248819,0.012578538323999333,0.07529282615155351,0.027413598865218936,0.027824430535493272,0.02484036664237926,0.026758556754409257
lima,0.3052135896836541,0.30335543816193716,0.25421066158238087,0.27372807043565534,0.2619875491929872,0.2245023699488807,0.24197535468607978,0.2286029647341991,0.2227007456181704,0.19891857444464542,0.20106446135346462,0.15388928852074701,0.1379192192950631,0.15453791222798835,0.14078350465467426,0.14914112615751318,0.145299374192228,0.09140273446421143,0.1499272382227135,0.0768656645541903,0.13723219268414788,0.15257462694044435,0.12096824649811035,0.0840209662983753,0.09990090295402082,0.09717042432056734,0.11572142664509245,0.0698098471042383,0.06362419443355327,0.03061036424379422,0.0635717369430456,0.040228193310909294,0.03779187308544989,0.024170066032167446,0.026463836138496028,0.03434588339349522,0.06878021310304808,0.036970283573588,0.045702882798734294,0.01986921877289574
london,0.30470020226312283,0.3046828352302969,0.25649488460092934,0.2751700882530173,0.24457686269455753,0.20759640615561958,0.2415204854557563,0.22610230036125573,0.19610388194319084,0.22118263188815898,0.18553965366873168,0.14081050241946677,0.15913701358776483,0.13050074407538115,0.18804963167133873,0.12920651570648037,0.17441518275445342,0.08657942351374003,0.1497647608656429,0.1584775394155232,0.1295998420148198,0.11660965187243559,0.14036392876888415,0.10741127501104661,0.07056691387139637,0.0717693691294102,0.08401650372110064,0.08783721026053436,0.05857186919329089,0.04550962865212148,0.0392920986744543,0.05514856260671764,0.04138520352567516,0.05797364495654956,0.03596120931735684,0.07700544355207002,0.03289864205439011,0.0363152207804876,0.022682494403948858,0.038104317416563255
losAngeles,0.2988426483245821,0.2988143616340285,0.24310924591223065,0.2598148766834106,0.26428934559340583,0.21550223537004334,0.2346999457855731,0.23654790351367483,0.1984193756755965,0.20814091260830322,0.20834350242900218,0.16156279071787646,0.20773702748251688,0.11613824942207429,0.16945482669974443,0.13231416906527135,0.1462005544711469,0.12465255141072977,0.09695664000133986,0.1286131506446234,0.12437346733167519,0.12495704381877876,0.13686690455681405,0.0869205430984552,0.11447639975362862,0.08985455510130418,0.08743239597947863,0.09048652605319049,0.05572395716485058,0.06657339617234131,0.03180877666921297,0.0640768639289766,0.0318723547310255,0.02620179579103717,0.03403377743502988,0.08007657124524278,0.03838649174496029,0.0483356162695294,0.038733289530543155,0.04763605675751621
madrid,0.3027179268214807,0.302706798638273,0.2789130513948882,0.2544155001809616,0.2526199105730243,0.2302140009446883,0.23375566265115053,0.20512654743598716,0.21060705342588962,0.21703362133866375,0.20957795064038473,0.2042064755672252,0.13091325875781917,0.13932002435475757,0.16702322526773683,0.1605568236295904,0.13298259960652156,0.10935440018535948,0.12740841886048343,0.1242448994494225,0.09363806420793681,0.12668535560621666,0.11259250598505989,0.08778658698048179,0.10212750216454514,0.10344579850995758,0.11309386719553093,0.06825818659432356,0.07132208619952031,0.05216461208077088,0.045425848981629414,0.043645794138222574,0.06199784740390393,0.03969528540364696,0.05296180402668624,0.03981459699002296,0.03805280802632567,0.04243367998026831,0.04731486125996225,0.05069674536977794
melbourne,0.3096651359870597,0.30965072035086333,0.248875473496202,0.2890857929175408,0.24396397140125547,0.22787493626756924,0.25188655875178484,0.24566268885415837,0.20874247959103567,0.2221919584734923,0.20623724522960024,0.16590206944801966,0.18539266389338652,0.08253492739036841,0.14923843904698464,0.14824285872377435,0.15143272975510189,0.09510340618916778,0.10251294026361134,0.13074532461161426,0.10532198545328839,0.1158325808332072,0.10327820799160267,0.08750425139971542,0.08453053565026294,0.07807166178729386,0.09023164541536463,0.1012948296236279,0.04744715215011927,0.06951812659449709,0.040717158534220164,0.06150928100610327,0.02983116583085826,0.02432546690470145,0.029966340731423284,0.05556027170844344,0.030203522636219685,0.024615607043969367,0.024741538160137678,0.042179833031680804
mexicoCity,0.3028288535113309,0.3013028145031654,0.2688080767695781,0.26112500951890943,0.236091429116258,0.2267016772217835,0.24143490389251435,0.211041357372928,0.23424497415232404,0.21751724224807314,0.2067691930442942,0.15177148491545264,0.15243655087398764,0.10158318759688037,0.15307882282795962,0.13868058423571264,0.14623574663310557,0.09966067131950612,0.12809850245528148,0.13541935229618166,0.09007352290462654,0.15731913951995002,0.137652441770913,0.10394133147681647,0.10142107535037871,0.09987367657488619,0.12219325009331064,0.08384313483095118,0.07008709979112207,0.051219584152881886,0.05210545751549211,0.049009057349036614,0.04470080674110197,0.03704829881893447,0.04187635115539873,0.02649924601695587,0.049520145998858546,0.043817845203631176,0.022468839384224813,0.0574958717580781
milan,0.3265586239838556,0.32490781075341174,0.2685768421303543,0.27331510782192214,0.27554774249622027,0.24358465794943165,0.21803352880100035,0.20250472152513463,0.21485386582724397,0.21574395331062898,0.1174321744255865,0.20130999865961097,0.11833089189531903,0.13012442567060273,0.18267154297608462,0.15989056179508984,0.15462676867306174,0.10114279388074363,0.14616745179579196,0.1264954998409154,0.05749463805908787,0.11901058327860069,0.09142284657657249,0.08661952208458375,0.07373617859170155,0.04598323544831818,0.07923829950812371,0.07097798729910487,0.06715382223670496,0.03941274481881591,0.04373713795606137,0.04036549107712629,0.053471323267686006,0.06336852648670596,0.03846054332255811,0.044502641535032125,0.04595107644401279,0.041286083667774066,0.049295077251427434,0.042735833445383585
mumbai,0.328372412908264,0.3283552974557995,0.23698526466220388,0.22102414661847858,0.228263543236161,0.2604023449969218,0.1851817970697779,0.22820100981864513,0.17492789650300983,0.18847830304997698,0.16881502705246904,0.20603007855248706,0.1355686390678043,0.20686799421042584,0.10542342139023282,0.19941114726790402,0.1495494528162472,0.191007639328622,0.11714787956021049,0.09915692685824938,0.13293585444780584,0.06389069535371265,0.09171235823780932,0.0839940095836541,0.08799406980909398,0.0638275509544166,0.06360023668236159,0.06236835229196161,0.06301301388010952,0.07722087373908232,0.033293108099676255,0.07786551052539181,0.0705048796190673,0.048262315017662545,0.03506050108536487,0.020518071931492896,0.007137653524206656,0.021381414099671602,0.03536029419562106,0.06407888337660059
nairobi,0.30780183152636936,0.3077792393489438,0.25104847700499383,0.27824553856174367,0.22893497382396527,0.2363411146091307,0.24243170660840174,0.1931133826183761,0.1880564178535258,0.17086788111865903,0.21584131623311728,0.12701303279383647,0.24232516960646489,0.23672309219867327,0.14993910369717278,0.14467872954887578,0.15245073302499748,0.10778315176508546,0.11618125744356682,0.09085065698806032,0.07622776659914646,0.11345657068832068,0.12451326977392613,0.10395136324570532,0.08021000921243565,0.09178386285520038,0.09432773416178475,0.06687760105480176,0.06149583153441252,0.05053852376609041,0.05474588766020379,0.04937951615037,0.028847198669036955,0.07755131104001846,0.03211560516112842,0.025606703972775723,0.028070797400619768,0.04253490980295923,0.042265131503149755,0.02951764411718226
newYork,0.2919856117409422,0.2905144195019608,0.26583302796201735,0.25068427825681766,0.2624131709415209,0.19070319705329625,0.21717113370475688,0.2312594242010226,0.2243916620806759,0.18619865811435835,0.20094409405693828,0.17816591010072066,0.17885684071630606,0.15816359752934836,0.1850019166891254,0.1223160101075273,0.1772323206658303,0.11583561365078536,0.10122250090579035,0.1407787442190336,0.10434806699574928,0.109927202759199,0.13970312319606676,0.09613302232627415,0.11151717114756578,0.09696856905869608,0.09206603484997652,0.09019111231777735,0.04455012448243208,0.05457008818078001,0.04921073272504445,0.06622275087932525,0.04347219684464507,0.023615822002776746,0.032878603104813525,0.09209196318886555,0.05915465950911633,0.028469003689124733,0.04060238130757511,0.0453760416350408
osaka,0.3150820514517169,0.31505297221577594,0.2675259618584624,0.22194326866143405,0.25294425997826675,0.24704305664239293,0.1994428476911593,0.21752077683275897,0.18647811877675072,0.15394963532629857,0.18130887702757192,0.13199680183694215,0.13217954814860539,0.18145902029127048,0.17881970317574933,0.18711688758048053,0.11608759562028569,0.17130116599901882,0.11147477778899026,0.09816216403060458,0.1285797775072671,0.11723439017946269,0.11908566863429196,0.12098800056740235,0.07497168071065723,0.10540075278106309,0.07718080035270411,0.11106036373548765,0.08488737652970303,0.06260612832054906,0.07175908984122766,0.05028077767944996,0.07384752553402871,0.045399423859830375,0.08203488327463737,0.039271409664867724,0.0391198292901483,0.028822467973887947,0.05538019305123992,0.054861646346946666
