label,wall,floor;flooring,table,chair,cabinet,sofa;couch;lounge,ceiling,windowpane;window,cushion,door;double;door,toilet;can;commode;crapper;pot;potty;stool;throne,painting;picture,curtain;drape;drapery;mantle;pall,lamp,airplane;aeroplane;plane,armchair,bed,shelf,rug;carpet;carpeting,box,hill,traffic;light;traffic;signal;stoplight,plant;flora;plant;life,mirror,truck;motortruck,animal;animate;being;beast;brute;creature;fauna,desk,book,bottle,sculpture,seat,wardrobe;closet;press,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,barrel;cask,fireplace;hearth;open;fireplace,railing;rail,screen;door;screen,waterfall;falls,vase,coffee;table;cocktail;table
paarl,0.3296788548855227,0.3386758955429702,0.28008722998899865,0.19816409378810657,0.19468172424510982,0.26244483876768215,0.20652906554618786,0.17924482215973125,0.22653458392823161,0.19845657025184404,0.18923451089632407,0.16210072490598493,0.13414740086923696,0.1632621578542782,0.10672008201208368,0.1840236380560734,0.10898026296798781,0.12832030268510847,0.1528645403530574,0.08449881037104338,0.16785296768227712,0.17449231042438604,0.09647726025656783,0.07951331277943144,0.04480224592759884,0.057951255979080074,0.07370289131259003,0.10552469386993787,0.02854298585198266,0.03348980123958059,0.04933612706416504,0.06639344483026552,0.06551893771013455,0.04155859151628724,0.06788531974166806,0.09785314129024864,0.0595501660402584,0.051602582552754815,0.0517373024084022,0.05740970178784545
pattaya,0.29385225643467494,0.2283316593952606,0.28762007909138987,0.23929963704756008,0.27465820266912594,0.2622450043898034,0.2343224952994894,0.2450450861051373,0.20123103203943127,0.20782846901041166,0.17038768404090437,0.14484901917952273,0.25635334618491695,0.19265357674326652,0.17971255890138824,0.1477633330862845,0.09419985878433898,0.1252104448721928,0.11186413377000264,0.07247622393168958,0.06790257900286338,0.09627977493597734,0.06097293547913098,0.09491202980364064,0.13223144953072513,0.06678058428119292,0.04627892135697873,0.09555646694172187,0.0704867567645166,0.038589176304099186,0.08906378729420034,0.040859100093998735,0.05823246323045989,0.023881372947176436,0.045802801358612324,0.04143362271198218,0.048774705976210336,0.04761429696611884,0.044550963668836305,0.022222989618999656
piracicaba,0.2954303764650641,0.3197137232342106,0.1343537876581562,0.17018153747257725,0.24331183780424578,0.14882340284643705,0.2794913610864644,0.2582668887226037,0.12496776630121409,0.25259771410256665,0.05117964997085564,0.3125155296192777,0.31497776607946765,0.0764283322864715,0.08294688202332978,0.11386619085161251,0.04336667953654537,0.1945902826465002,0.1691156769495734,0.16207097573849308,0.055617232521701344,0.08890981273751579,0.1161352859272973,0.036223815345814,0.14676181802399915,0.06456924236661386,0.11918834419264207,0.0,0.05474487363168182,0.07082390485154537,0.06185010388953221,0.032718199164992835,0.018515132908905274,0.04125409432695492,0.052862018663560904,0.03217792789717923,0.0,0.02884088010810245,0.0,0.10736902903164425
quebec,0.30162315757729957,0.3045118102329808,0.3217779700048132,0.20648571046027325,0.24354086764232766,0.28028491546626466,0.24213289590413484,0.20729032087720214,0.24280127628631568,0.18824459098802532,0.19251829435344003,0.22384954552471922,0.14519175524651426,0.18521567440507797,0.15318819123263827,0.17616491494432787,0.11639496511269065,0.10787387952855267,0.11399699639917454,0.06883778537752722,0.04704393352667905,0.04886245581205907,0.09002774356683109,0.08597741264037606,0.051512645014830355,0.096338210964506,0.07676268169989277,0.03927366309821029,0.10487296067557392,0.027983644907928245,0.06149344060674815,0.02767869468704087,0.04957512709899313,0.03315011854482856,0.04292500611205055,0.08083993211831636,0.04008011813091995,0.012315907791003783,0.03678079231230924,0.029790761988004056
sharjah,0.30533903855801037,0.2743628858394049,0.2807947186448864,0.23363603364242988,0.2581563565688842,0.25619919151457266,0.18412694206134403,0.16198320180163284,0.2658630382465042,0.15640816581431122,0.2274318316384032,0.15949343658913376,0.20037487242274749,0.1960351060300148,0.25440205352158973,0.127637632570002,0.15000601893721094,0.11677780666410982,0.12048229839951755,0.08803897420907794,0.031589448002128456,0.049954491258610165,0.0670216616240541,0.06189211093201804,0.048250516477692816,0.07590525876508404,0.1255251116400974,0.09253562371008583,0.09254835889384211,0.038294979953237815,0.05743408995821748,0.058099210483888705,0.044951333568654044,0.008937729567533165,0.05713729758118935,0.031199425326903635,0.01889765313776962,0.05456435110896147,0.018824949262298735,0.03504236299054937
siena,0.29649863147772587,0.39019930836923067,0.2541996131344576,0.19492543047024782,0.21211290881197126,0.22863178623748742,0.32060021522560694,0.20626552406784257,0.1547073617018322,0.15791060179695648,0.14050506194448403,0.1701788462464353,0.13870107019032307,0.17457896973559517,0.08920230413966927,0.12612291709921808,0.16913976931363475,0.15103082002965462,0.10881378848574456,0.07056483133276509,0.1812408904230537,0.16135280161458931,0.11114904725384349,0.06429192207366993,0.056924135500391077,0.10921417607293961,0.047937174969838625,0.06317180389207692,0.08728078233033588,0.0523552354187416,0.022299610404151262,0.05783576336055815,0.02196250203560525,0.0,0.08918567890750904,0.07910970405283159,0.03619528507808693,0.049101966731801026,0.051760148300063195,0.023616904475943504
suncheon,0.3551207745055447,0.21304086238795267,0.19550671399115166,0.4200490272003171,0.13347416535804624,0.16428788357311516,0.3839824471788236,0.19430066938573468,0.11596075197126589,0.16490651009277615,0.14691240654218088,0.14907302969798647,0.22853284192742152,0.13509395459053408,0.16226929330777004,0.013864237834055604,0.058946260243454784,0.15071363476500557,0.10026272936787434,0.14988865071908986,0.07355608487423626,0.08024880629626864,0.0,0.146269701436671,0.057025471141655654,0.0,0.0,0.0734561445415267,0.1434853930633987,0.0,0.0766209217439961,0.054606422764867456,0.047458691289218646,0.07926885065720772,0.0,0.09455049056002879,0.0,0.09017014789399037,0.0,0.0279484213401317
sunshineCoast,0.2922310837642097,0.3145041371306477,0.299286492150005,0.25820892980328425,0.2139307236554623,0.2314163707274549,0.21349878972766032,0.22789543224597691,0.22352719511846914,0.22719517775150977,0.20524613782590675,0.2288177340223644,0.08602155349737306,0.1771213002075869,0.13425894741330982,0.12902404472606738,0.10710708963446576,0.0695119768494975,0.13544223746746187,0.05648423799056828,0.149326092252825,0.08471877336391054,0.15853220824859762,0.03797962867681953,0.12938282508152024,0.1000970382159151,0.022515016380331414,0.024910214492470228,0.06218782571720924,0.03504290434675724,0.034111680291901834,0.040544278152472836,0.04211833552426065,0.07238568560478284,0.045988346188814686,0.027643272891355628,0.07752325813049422,0.07006502904999523,0.052135208255715826,0.07028295910144122
sylhet,0.26293064788654735,0.30933231760618096,0.2990458269248395,0.1712596300156553,0.22304362460676494,0.1294816772522221,0.16163412689980697,0.16508084126588948,0.13063215011033602,0.09216384343302324,0.18972178114817057,0.31080761467443097,0.1925149642651056,0.0,0.23011863514168887,0.18217325195801493,0.20623513628931017,0.016132394607789636,0.002580587425786314,0.12312371379771629,0.06866059470876848,0.0,0.05747234853069677,0.023657504670706507,0.0,0.17090828523970725,0.10321191201468527,0.0,0.0,0.17431850669005552,0.08936541116362269,0.028151713965779597,0.1384738078640521,0.0,0.06854571436365539,0.015575837469662682,0.08696384682436031,0.029529263476216618,0.1398738788466917,0.0
toluca,0.2716646329881881,0.27247104030958613,0.3261777542784565,0.1419634619796395,0.18764928961058241,0.2030549903713496,0.1942845624964177,0.14429346910031454,0.1362727268041031,0.2190883166326383,0.21890866982115148,0.22928289491060264,0.09493315639144999,0.2501626009622081,0.17687188627796094,0.1898880141309311,0.1705955437192399,0.1684647765086006,0.10551681034969308,0.09138522994734832,0.06786973000975728,0.17864951717676814,0.07474486923224803,0.06811174004940022,0.10552780431611716,0.11659994645359423,0.06994756266361457,0.06215285008669414,0.08922184070603012,0.06334532128156184,0.04464749019543774,0.12090216159318042,0.04813150954681122,0.02488792761648382,0.11255506682844771,0.037467900560212666,0.02771085252470591,0.021515639167091514,0.024105916181708667,0.05660201662688048
